,pixelID
1164,tile_0_11_-287025345855
1165,tile_0_11_-287025346125
1166,tile_0_11_-287025346935
1167,tile_0_11_-287025347205
1168,tile_0_11_-287025347475
1169,tile_0_11_-287025347745
1170,tile_0_11_-287025348015
1171,tile_0_11_-287025348285
1172,tile_0_11_-287025348555
1173,tile_0_11_-287025348825
1174,tile_0_11_-287025349095
1175,tile_0_11_-287025349365
1176,tile_0_11_-287025349635
1177,tile_0_11_-287025349905
1178,tile_0_11_-287025350175
1179,tile_0_11_-287025350445
1180,tile_0_11_-287025350715
1181,tile_0_11_-287025350985
1182,tile_0_11_-287025351255
1183,tile_0_11_-287025352605
1184,tile_0_11_-287025352875
1185,tile_0_11_-287025353145
1186,tile_0_11_-287025353415
1187,tile_0_11_-287025353685
1188,tile_0_11_-287025353955
1189,tile_0_11_-287295331815
1190,tile_0_11_-287295332085
1191,tile_0_11_-287295332895
1192,tile_0_11_-287295335055
1193,tile_0_11_-287295336135
1194,tile_0_11_-287295336405
1195,tile_0_11_-287295337215
1201,tile_0_11_-287295341535
1202,tile_0_11_-287295341805
1203,tile_0_11_-287295342075
1204,tile_0_11_-287295342345
1205,tile_0_11_-287295342615
1206,tile_0_11_-287295342885
1207,tile_0_11_-287295343155
1208,tile_0_11_-287295343425
1209,tile_0_11_-287295343695
1210,tile_0_11_-287295343965
1211,tile_0_11_-287295344235
1212,tile_0_11_-287295345045
1213,tile_0_11_-287295345315
1214,tile_0_11_-287295345585
1215,tile_0_11_-287295345855
1216,tile_0_11_-287295346125
1217,tile_0_11_-287295346395
1218,tile_0_11_-287295346665
1219,tile_0_11_-287295346935
1220,tile_0_11_-287295347205
1221,tile_0_11_-287295347475
1222,tile_0_11_-287295348015
1223,tile_0_11_-287295348285
1224,tile_0_11_-287295348555
1225,tile_0_11_-287295348825
1226,tile_0_11_-287295349095
1227,tile_0_11_-287295349365
1228,tile_0_11_-287295349635
1229,tile_0_11_-287295349905
1230,tile_0_11_-287295350175
1231,tile_0_11_-287295350445
1232,tile_0_11_-287295350715
1233,tile_0_11_-287295350985
1234,tile_0_11_-287295351255
